"front","back"
"Câu 30: Việc số hóa hồ sơ, kết quả giải quyết thủ tục hành chính nhằm mục đích nào sau đây?","✅ Đáp án: D. Tái sử dụng dữ liệu, giảm giấy tờ và nâng cao hiệu quả giải quyết thủ tục hành chính điện tử."
"Câu 31: Cơ quan có thẩm quyền không được yêu cầu tổ chức, cá nhân thực hiện nội dung nào dưới đây?","✅ Đáp án: C. Cung cấp lại thông tin, dữ liệu đã có trong cơ sở dữ liệu quốc gia hoặc cơ sở dữ liệu chuyên ngành."
"Câu 32: Cơ chế một cửa liên thông được hiểu là gì?","✅ Đáp án: B. Phương thức phối hợp giữa các cơ quan có thẩm quyền trong tiếp nhận, giải quyết và trả kết quả thủ tục hành chính cho tổ chức, cá nhân."
"Câu 33: Việc thực hiện thủ tục hành chính trên môi trường điện tử phải bảo đảm yêu cầu nào sau đây?","✅ Đáp án: C. An toàn thông tin, bảo mật dữ liệu và xác thực điện tử theo quy định của pháp luật hiện hành."
"Câu 34: Theo quy định của Luật Xử lý vi phạm hành chính, vi phạm hành chính được hiểu là gì?","✅ Đáp án: A. Hành vi có lỗi do cá nhân, tổ chức thực hiện, vi phạm quy định của pháp luật về quản lý nhà nước mà không phải là tội phạm."
"Câu 35: Nguyên tắc xử lý vi phạm hành chính được quy định như thế nào?","✅ Đáp án: B. Việc xử lý vi phạm hành chính phải bảo đảm công bằng, công khai, khách quan và đúng quy định pháp luật."
"Câu 36: Hình thức xử phạt chính bao gồm những hình thức nào dưới đây?","✅ Đáp án: B. Cảnh cáo, phạt tiền và trục xuất theo quy định của Luật Xử lý vi phạm hành chính."
"Câu 37: Bà M là giáo viên trường trung học phổ thông công lập A, được tuyển dụng theo chế độ hợp đồng làm việc và hưởng lương từ quỹ lương của trường. Theo pháp luật hiện hành, bà M là:","✅ Đáp án: D. Người lao động theo chế độ hợp đồng lao động."
"Câu 38: Theo quy định của Luật Xử lý vi phạm hành chính, biện pháp khắc phục hậu quả bao gồm nội dung nào dưới đây?","✅ Đáp án: A. Buộc khôi phục lại tình trạng ban đầu, buộc tháo dỡ công trình vi phạm và buộc nộp lại số lợi bất hợp pháp có được do vi phạm hành chính."
"Câu 39: Theo quy định của pháp luật hiện hành, một hành vi vi phạm hành chính bị xử phạt như thế nào?","✅ Đáp án: A. Một hành vi vi phạm hành chính chỉ bị xử phạt một lần."
"Câu 40: Theo quy định của Luật Xử lý vi phạm hành chính hiện hành, biên bản vi phạm hành chính phải có nội dung nào sau đây?","✅ Đáp án: B. Thời gian, địa điểm lập biên bản và mô tả hành vi vi phạm hành chính."
"Câu 41: Theo Luật Xử lý vi phạm hành chính, tạm giữ tang vật, phương tiện vi phạm hành chính được áp dụng nhằm mục đích nào sau đây?","✅ Đáp án: A. Để xác định hành vi vi phạm; làm rõ tình tiết trong vụ việc; hoặc để thi hành quyết định xử phạt"
"Câu 42: Theo quy định của Luật Xử lý vi phạm hành chính hiện hành, đối tượng có thể bị áp dụng biện pháp giáo dục tại xã, phường:","✅ Đáp án: A. Người từ đủ 12 tuổi đến dưới 18 tuổi thuộc trường hợp áp dụng biện pháp giáo dục tại xã, phường theo quy định của Luật Xử lý vi phạm hành chính."
"Câu 43: Theo quy định pháp luật hiện hành, cá nhân, tổ chức bị xử phạt vi phạm hành chính có quyền:","✅ Đáp án: B. Khiếu nại, khởi kiện đối với quyết định xử phạt vi phạm hành chính theo quy định pháp luật."
"Câu 44: Theo Luật Xử lý vi phạm hành chính, trường hợp nào sau đây không xử phạt vi phạm hành chính?","✅ Đáp án: A. Cá nhân thực hiện hành vi vi phạm hành chính trong tình thế cấp thiết để tránh nguy cơ gây thiệt hại lớn hơn cho lợi ích được pháp luật bảo vệ."
"Câu 45: Theo quy định pháp luật hiện hành, thời hạn nộp tiền phạt vi phạm hành chính là bao lâu?","✅ Đáp án: B. Trong thời hạn mười ngày kể từ ngày nhận được quyết định xử phạt vi phạm hành chính trừ trường hợp quyết định xử phạt ghi thời hạn dài hơn."
"Câu 46: Theo quy định pháp luật hiện hành, tang vật vi phạm hành chính bị tịch thu thuộc:","✅ Đáp án: B. Sở hữu nhà nước và được xử lý theo quy định của pháp luật về quản lý tài sản công."
"Câu 47: Theo Luật Xử lý vi phạm hành chính, biện pháp ngăn chặn và bảo đảm xử lý vi phạm hành chính gồm:","✅ Đáp án: A. Tạm giữ người, tang vật, phương tiện và khám phương tiện vận tải theo thủ tục hành chính."
"Câu 48: Theo quy định pháp luật hiện hành, việc xử phạt vi phạm hành chính phải căn cứ vào:","✅ Đáp án: B. Tính chất, mức độ, hậu quả vi phạm và đối tượng thực hiện hành vi vi phạm hành chính."
"Câu 49: Theo quy định của Luật Xử lý vi phạm hành chính hiện hành, trường hợp nào sau đây được xác định là tình tiết giảm nhẹ?","✅ Đáp án: C. Tự nguyện khai báo, thành thật hối lỗi và tích cực giúp đỡ cơ quan chức năng xử lý vi phạm."
"Câu 50: Theo Luật Xử lý vi phạm hành chính, tổ chức vi phạm hành chính bị phạt tiền:","✅ Đáp án: B. Với mức tiền phạt gấp hai lần mức tiền phạt áp dụng đối với cá nhân cùng thực hiện hành vi."
"Câu 51: Theo quy định pháp luật hiện hành, thời hạn tạm giữ tang vật, phương tiện vi phạm hành chính là:","✅ Đáp án: A. Không quá bảy ngày kể từ ngày tạm giữ, trừ trường hợp pháp luật có quy định khác."
"Câu 52: Trong quá trình kiểm tra cơ sở kinh doanh, đoàn kiểm tra phát hiện bà B đang buôn bán hàng hóa nhập lậu. Do cần xác minh tình tiết liên quan đến tang vật vi phạm, người có thẩm quyền quyết định tạm giữ số hàng hóa này. Việc tạm giữ tang vật trong trường hợp trên nhằm:","✅ Đáp án: B. Bảo đảm xác minh tình tiết và xử lý vi phạm hành chính."
"Câu 53: Theo Luật Cán bộ, công chức năm 2025, cán bộ là:","✅ Đáp án: B. Công dân Việt Nam được bầu cử, phê chuẩn, bổ nhiệm giữ chức vụ, chức danh theo nhiệm kỳ trong cơ quan của Đảng, Nhà nước và tổ chức chính trị - xã hội."
"Câu 54: Theo Luật Cán bộ, công chức năm 2025, công chức là:","✅ Đáp án: A. Công dân Việt Nam được tuyển dụng vào vị trí việc làm trong cơ quan của Đảng, Nhà nước, tổ chức chính trị - xã hội và hưởng lương từ ngân sách nhà nước."
"Câu 55: Theo Luật Cán bộ, công chức năm 2025, một trong các nguyên tắc trong thi hành công vụ là gì?","✅ Đáp án: A. Bảo vệ lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, công dân."
"Câu 56: Theo Luật Cán bộ, công chức năm 2025, cán bộ, công chức có quyền nào sau đây?","✅ Đáp án: D. Được cung cấp thông tin, dữ liệu liên quan đến nhiệm vụ, quyền hạn được giao."
"Câu 57: Theo Luật Cán bộ, công chức năm 2025, việc tuyển dụng công chức phải căn cứ vào:","✅ Đáp án: A. Nhu cầu nhiệm vụ, vị trí việc làm và chỉ tiêu biên chế theo quy định của pháp luật hiện hành."
"Câu 58: Theo Luật Cán bộ, công chức năm 2025, hình thức kỷ luật đối với công chức không giữ chức vụ lãnh đạo, quản lý gồm:","✅ Đáp án: A. Khiển trách, cảnh cáo, hạ bậc lương, buộc thôi việc theo quy định của pháp luật hiện hành."
"Câu 59: Theo Luật Viên chức năm 2025, viên chức là:","✅ Đáp án: A. Công dân Việt Nam được tuyển dụng theo vị trí việc làm, làm việc tại đơn vị sự nghiệp công lập theo chế độ hợp đồng làm việc và hưởng lương từ quỹ lương của đơn vị sự nghiệp công lập theo quy định pháp luật."
"Câu 60: Theo Luật Viên chức năm 2025, tuyển dụng viên chức phải căn cứ vào:","✅ Đáp án: A. Nhu cầu công việc, vị trí việc làm, tiêu chuẩn chức danh nghề nghiệp và quỹ tiền lương của đơn vị sự nghiệp công lập."
"Câu 61: Theo quy định của pháp luật hiện hành, điểm khác nhau cơ bản giữa cán bộ và công chức là:","✅ Đáp án: A. Cán bộ được bầu cử, phê chuẩn hoặc bổ nhiệm theo nhiệm kỳ; công chức được tuyển dụng, bổ nhiệm vào ngạch, chức vụ, chức danh theo quy định pháp luật."
"Câu 62: Theo quy định pháp luật hiện hành, viên chức khác công chức ở điểm nào sau đây?","✅ Đáp án: B. Viên chức làm việc theo chế độ hợp đồng làm việc tại đơn vị sự nghiệp công lập, còn công chức được tuyển dụng vào cơ quan của Đảng, Nhà nước, tổ chức chính trị - xã hội."
"Câu 63: Theo quy định của pháp luật hiện hành, chủ thể nào sau đây làm việc theo chế độ hợp đồng làm việc?","✅ Đáp án: C. Viên chức được tuyển dụng vào đơn vị sự nghiệp công lập theo quy định của pháp luật về viên chức."
"Câu 64: Theo Luật Khiếu nại, khiếu nại được hiểu là:","✅ Đáp án: B. Công dân, cơ quan, tổ chức hoặc cán bộ, công chức theo thủ tục đề nghị cơ quan, tổ chức, cá nhân có thẩm quyền xem xét lại quyết định hành chính, hành vi hành chính của cơ quan hành chính nhà nước, của người có thẩm quyền trong cơ quan hành chính nhà nước hoặc quyết định kỷ luật cán bộ, công chức khi có căn cứ cho rằng quyết định hoặc hành vi đó là trái pháp luật, xâm phạm quyền, lợi ích hợp pháp của mình."
"Câu 65: Theo quy định của Luật Khiếu nại, người khiếu nại có quyền nào sau đây?","✅ Đáp án: B. Khiếu nại, rút khiếu nại và cung cấp chứng cứ liên quan đến nội dung khiếu nại theo quy định pháp luật."
"Câu 66: Theo Luật Khiếu nại, cơ quan giải quyết khiếu nại có trách nhiệm nào sau đây?","✅ Đáp án: A. Thụ lý, xác minh, đối thoại và ban hành quyết định giải quyết khiếu nại theo quy định pháp luật."
"Câu 67: Theo quy định pháp luật hiện hành, thời hiệu khiếu nại là bao nhiêu ngày?","✅ Đáp án: A. Chín mươi ngày kể từ ngày người khiếu nại nhận được hoặc biết được quyết định hành chính, hành vi hành chính."
"Câu 68: Theo Luật Khiếu nại, việc giải quyết khiếu nại phải bảo đảm nguyên tắc nào sau đây?","✅ Đáp án: B. Khách quan, công khai, dân chủ và đúng pháp luật trong quá trình giải quyết khiếu nại hành chính."
"Câu 69: Theo quy định của Luật Khiếu nại hiện hành, người khiếu nại có thể thực hiện việc khiếu nại thông qua chủ thể nào sau đây?","✅ Đáp án: A. Người đại diện theo pháp luật hoặc người được ủy quyền hợp pháp."
"Câu 70: Theo Luật Khiếu nại, đối thoại trong giải quyết khiếu nại được thực hiện nhằm:","✅ Đáp án: B. Làm rõ nội dung khiếu nại, yêu cầu của người khiếu nại và hướng giải quyết vụ việc khiếu nại."
"Câu 71: Ông M thực hiện hành vi vi phạm hành chính vào ngày 01/3/2024 nhưng đến ngày 20/4/2024 cơ quan có thẩm quyền mới phát hiện hành vi vi phạm này. Theo quy định của Luật Xử lý vi phạm hành chính, thời hiệu xử phạt vi phạm hành chính trong trường hợp thông thường được tính từ thời điểm nào?","✅ Đáp án: C. Từ thời điểm hành vi vi phạm hành chính được thực hiện."
"Câu 72: Theo Luật Tố tụng hành chính, hành vi hành chính được hiểu là:","✅ Đáp án: B. Hành vi của cơ quan, tổ chức hoặc người có thẩm quyền thực hiện hoặc không thực hiện nhiệm vụ, công vụ theo quy định pháp luật."
"Câu 73: Theo Luật Tố tụng hành chính, đối tượng giải quyết vụ án hành chính bao gồm:","✅ Đáp án: A. Quyết định hành chính, hành vi hành chính; quyết định kỷ luật buộc thôi việc đối với công chức; quyết định giải quyết khiếu nại về quyết định xử lý vụ việc cạnh tranh."
"Câu 74: Theo Luật Tố tụng hành chính, người khởi kiện là:","✅ Đáp án: A. Cá nhân, cơ quan, tổ chức khởi kiện vụ án hành chính để yêu cầu Tòa án bảo vệ quyền, lợi ích hợp pháp của mình."
"Câu 75: Theo Luật Tố tụng hành chính, chủ thể nào sau đây là người bị kiện trong vụ án hành chính?","✅ Đáp án: B. Cơ quan, tổ chức hoặc cá nhân có quyết định hành chính, hành vi hành chính hoặc quyết định kỷ luật buộc thôi việc bị khởi kiện."
"Câu 76: Theo Luật Tố tụng hành chính, thời hiệu khởi kiện vụ án hành chính là bao lâu kể từ ngày người khởi kiện nhận được hoặc biết được quyết định hành chính, hành vi hành chính, quyết định kỷ luật buộc thôi việc hoặc quyết định giải quyết khiếu nại về quyết định xử lý vụ việc cạnh tranh?","✅ Đáp án: B. 01 năm."
"Câu 77: Theo Luật Tố tụng hành chính, Tòa án xét xử vụ án hành chính phải bảo đảm nguyên tắc nào sau đây?","✅ Đáp án: B. Thẩm phán và Hội thẩm xét xử độc lập và chỉ tuân theo pháp luật trong quá trình giải quyết vụ án."
"Câu 78: Theo Luật Tố tụng hành chính, đương sự trong vụ án hành chính gồm:","✅ Đáp án: A. Người khởi kiện, người bị kiện và người có quyền lợi, nghĩa vụ liên quan trong vụ án hành chính."
"Câu 79: Theo Luật Tố tụng hành chính, chứng cứ trong vụ án hành chính được hiểu là những tài liệu nào?","✅ Đáp án: B. Những gì có thật được đương sự, cơ quan, tổ chức, cá nhân giao nộp hoặc do Tòa án thu thập theo trình tự, thủ tục luật định và được dùng làm căn cứ để xác định tình tiết khách quan của vụ án."
"Câu 80: Theo Luật Tố tụng hành chính, việc xét xử sơ thẩm vụ án hành chính được tiến hành:","✅ Đáp án: A. Công khai, trừ trường hợp cần giữ bí mật nhà nước, thuần phong mỹ tục hoặc bảo vệ người chưa thành niên."
"Câu 81: Theo Luật Tố tụng hành chính, Hội đồng xét xử sơ thẩm vụ án hành chính gồm:","✅ Đáp án: C. Một Thẩm phán và hai Hội thẩm nhân dân, trừ trường hợp xét xử theo thủ tục rút gọn."
"Câu 82: Theo quy định của Luật Tố tụng hành chính, Tòa án trả lại đơn khởi kiện trong trường hợp nào sau đây?","✅ Đáp án: A. Người khởi kiện không có quyền khởi kiện theo quy định của Luật Tố tụng hành chính hiện hành."
"Câu 83: Theo quy định của Luật Tố tụng hành chính hiện hành, đối thoại trong tố tụng hành chính nhằm:","✅ Đáp án: A. Tạo điều kiện để đương sự thống nhất hướng giải quyết vụ án hành chính theo quy định pháp luật."
"Câu 84: Theo Luật Tố tụng hành chính, Viện kiểm sát nhân dân tham gia tố tụng hành chính nhằm:","✅ Đáp án: A. Kiểm sát việc tuân theo pháp luật trong quá trình giải quyết vụ án hành chính của Tòa án."
"Câu 85: Theo quy định của Luật Tố tụng hành chính hiện hành, bản án sơ thẩm chưa có hiệu lực pháp luật khi:","✅ Đáp án: B. Bị kháng cáo hoặc kháng nghị trong thời hạn luật định."
"Câu 86: Theo quy định của Luật Tố tụng hành chính hiện hành, người bảo vệ quyền và lợi ích hợp pháp của đương sự có thể là:","✅ Đáp án: C. Luật sư hoặc người khác theo quy định của pháp luật tham gia tố tụng để bảo vệ đương sự."
"Câu 87: Theo Luật Tố tụng hành chính, người khởi kiện có quyền rút đơn khởi kiện vào thời điểm nào?","✅ Đáp án: A. Trước khi Tòa án ra bản án hoặc quyết định giải quyết vụ án hành chính theo quy định pháp luật."
"Câu 88: Theo Luật Tố tụng hành chính, kháng cáo được hiểu là gì?","✅ Đáp án: B. Là quyền của đương sự hoặc người đại diện hợp pháp yêu cầu Tòa án cấp trên trực tiếp xét xử lại bản án, quyết định sơ thẩm chưa có hiệu lực pháp luật."
"Câu 89: Theo Luật Tố tụng hành chính, người làm chứng có nghĩa vụ nào sau đây?","✅ Đáp án: B. Khai báo trung thực những tình tiết mà mình biết liên quan đến vụ án hành chính được giải quyết."
"Câu 90: Theo Luật Tố tụng hành chính, Tòa án quyết định tạm đình chỉ giải quyết vụ án hành chính khi:","✅ Đáp án: D. Có căn cứ theo quy định của pháp luật làm cho việc giải quyết vụ án chưa thể tiếp tục và thuộc trường hợp phải tạm đình chỉ giải quyết vụ án."
"Câu 91: Theo Luật Tố tụng hành chính, bản án, quyết định của Tòa án đã có hiệu lực pháp luật phải được:","✅ Đáp án: A. Cơ quan, tổ chức, cá nhân có liên quan nghiêm chỉnh chấp hành theo quy định của pháp luật."
"Câu 92: Theo Luật Tố tụng hành chính, người tiến hành tố tụng gồm:","✅ Đáp án: C. Thẩm phán, Hội thẩm, Thư ký Tòa án và Kiểm sát viên theo quy định của pháp luật hiện hành."
"Câu 93: Theo quy định của Luật Tố tụng hành chính hiện hành, Tòa án cấp phúc thẩm có quyền nào sau đây?","✅ Đáp án: B. Giữ nguyên, sửa đổi hoặc hủy bản án sơ thẩm nhưng không được đình chỉ giải quyết vụ án ở giai đoạn phúc thẩm."
"Câu 94: Theo quy định của Luật Tố tụng hành chính hiện hành, người bị kiện có nghĩa vụ:","✅ Đáp án: D. Cung cấp tài liệu, chứng cứ và tham gia tố tụng theo yêu cầu của Tòa án có thẩm quyền."
"Câu 95: Theo quy định của Luật Tố tụng hành chính hiện hành, đương sự có quyền đề nghị thay đổi người tiến hành tố tụng khi:","✅ Đáp án: B. Có căn cứ cho rằng người đó có thể không vô tư, khách quan trong khi thực hiện nhiệm vụ tố tụng."
"Câu 96: Theo quy định của Luật Tố tụng hành chính hiện hành, nhiệm vụ của Luật Tố tụng hành chính là:","✅ Đáp án: C. Bảo vệ công lý, quyền con người, quyền công dân, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân."
"Câu 97: Tính hợp pháp của quyết định hành chính được hiểu như thế nào?","✅ Đáp án: B. Quyết định hành chính phải được ban hành đúng thẩm quyền, trình tự, thủ tục và phù hợp quy định pháp luật."
"Câu 98: Ông H xây dựng công trình không có giấy phép xây dựng theo quy định và bị xử phạt vi phạm hành chính, đồng thời bị áp dụng biện pháp khắc phục hậu quả là buộc tháo dỡ công trình vi phạm. Hết thời hạn thi hành quyết định xử phạt, ông H vẫn không tự nguyện chấp hành nên Chủ tịch UBND xã ban hành quyết định cưỡng chế tháo dỡ công trình. Biện pháp cưỡng chế trong trường hợp này nhằm:","✅ Đáp án: B. Buộc cá nhân vi phạm thực hiện biện pháp khắc phục hậu quả."
"Câu 99: Quyết định hành chính không bảo đảm tính hợp pháp khi:","✅ Đáp án: C. Quyết định được ban hành bởi chủ thể không có thẩm quyền hoặc vượt quá phạm vi thẩm quyền theo quy định của pháp luật."
"Câu 100: Quyết định hành chính không bảo đảm tính hợp lý khi:","✅ Đáp án: A. Nội dung quyết định phù hợp quy định pháp luật nhưng không phù hợp với điều kiện thực tế."
